
1,1,3,960,RIGHT,81,true,4,83,[378/201/268/636],[104/124/120/81],[LEFT/UP/UP/UP],4,48,178,3,470,238,,1,UP,,1,145,false
2,2,3,834,UP,75,true,4,71,[327/207/137/580],[98/118/114/75],[UP/RIGHT/UP/UP],4,60,175,3,500,250,,2,LEFT,,2,85,false
3,3,3,936,DOWN,81,true,4,35,[205/57/66/427],[128/137/133/81],[RIGHT/UP/RIGHT/UP],4,24,172,3,530,286,,3,RIGHT,,3,25,false
4,4,3,948,RIGHT,99,true,4,23,[211/51/72/329],[139/154/139/99],[RIGHT/LEFT/RIGHT/UP],4,36,172,3,530,298,,4,RIGHT,,4,25,false
5,5,3,960,RIGHT,117,true,4,11,[124/45/78/293],[140/160/145/117],[UP/LEFT/RIGHT/UP],4,48,172,3,530,310,,5,UP,,5,25,false
6,6,3,153,RIGHT,74,true,4,183,[921/588/60/280],[98/74/83/75],[UP/LEFT/LEFT/DOWN],16,73,178,2,520,178,,6,RIGHT,,6,165,false
7,7,3,984,RIGHT,72,true,4,35,[1167/1143/125/57],[76/72/128/148],[DOWN/DOWN/DOWN/UP],4,60,163,2,670,326,,7,RIGHT,,7,145,false
8,8,3,996,RIGHT,90,true,4,23,[1193/1179/223/51],[90/90/114/142],[RIGHT/DOWN/LEFT/LEFT],4,48,160,2,700,338,,8,UP,,8,105,false
9,9,3,859,UP,96,true,4,11,[1199/1195/217/45],[96/100/108/136],[RIGHT/RIGHT/LEFT/LEFT],4,60,157,2,730,350,,9,LEFT,,9,165,false
10,10,3,1271,LEFT,88,true,4,171,[375/694/379/334],[131/88/127/133],[LEFT/RIGHT/LEFT/DOWN],4,88,160,2,700,246,,10,LEFT,,10,345,false
11,11,3,1259,LEFT,106,true,4,159,[309/700/333/393],[149/106/145/139],[UP/RIGHT/UP/LEFT],4,76,157,2,730,258,,11,UP,,11,345,false
12,12,3,984,UP,93,true,4,123,[208/589/204/375],[131/93/127/107],[RIGHT/RIGHT/RIGHT/LEFT],4,72,148,2,820,294,,12,LEFT,,12,165,false
13,13,3,972,LEFT,75,true,4,111,[142/595/210/309],[149/75/145/125],[UP/RIGHT/RIGHT/UP],4,60,147,2,830,306,,13,LEFT,,13,145,false
14,14,3,1020,DOWN,96,true,3,107,[292/189/99/488],[96/124/133/100],[UP/RIGHT/UP/LEFT],4,24,157,2,930,258,,14,LEFT,,14,725,false
15,15,3,1008,LEFT,73,true,4,163,[119/320/30/703],[105/123/151/73],[DOWN/UP/LEFT/RIGHT],4,96,137,1,1180,358,,15,LEFT,,15,225,false
16,16,3,996,LEFT,90,true,4,151,[250/284/24/644],[111/117/151/90],[DOWN/UP/LEFT/UP],4,84,134,1,1210,370,,16,LEFT,,16,225,false
17,17,3,984,LEFT,96,true,4,139,[286/248/93/586],[117/135/157/96],[DOWN/UP/DOWN/UP],4,72,131,1,1240,382,,17,LEFT,,17,225,false
18,18,3,972,LEFT,78,true,4,127,[322/194/129/592],[123/129/139/78],[DOWN/RIGHT/DOWN/RIGHT],4,60,130,1,1250,394,,18,LEFT,,18,745,false
19,19,3,948,LEFT,78,true,4,103,[389/206/186/562],[111/141/121/78],[LEFT/RIGHT/RIGHT/UP],4,36,124,1,1310,418,,19,LEFT,,19,725,false
20,20,3,936,LEFT,72,true,4,91,[383/212/192/480],[112/126/115/72],[LEFT/RIGHT/RIGHT/UP],4,24,121,1,1340,430,,20,LEFT,,20,725,false
21,21,3,1211,RIGHT,111,true,4,171,[386/209/315/483],[132/165/148/111],[RIGHT/LEFT/DOWN/RIGHT],4,2147483647,109,0,1510,482,,21,UP,,21,185,false
22,22,3,834,UP,81,true,4,123,[268/374/394/507],[108/96/92/81],[UP/DOWN/RIGHT/RIGHT],4,2147483647,101,0,1590,530,,22,RIGHT,,22,25,false
23,23,1,153,RIGHT,92,true,4,183,[602/788/1152/602],[92/106/153/92],[LEFT/DOWN/DOWN/LEFT],16,2147483647,77,0,1830,954,,23,DOWN,,23,25,false
24,24,1,348,DOWN,78,true,4,167,[640/849/1260/640],[78/98/132/78],[DOWN/RIGHT/RIGHT/DOWN],32,2147483647,77,0,1830,970,,24,LEFT,,24,25,false
25,25,2,153,RIGHT,78,true,4,183,[717/1157/1237/506],[89/130/138/78],[LEFT/DOWN/RIGHT/LEFT],16,73,163,3,620,353,,25,RIGHT,,25,565,false
26,26,2,1259,LEFT,74,true,4,159,[135/697/672/475],[175/103/74/137],[DOWN/RIGHT/DOWN/RIGHT],16,76,139,2,910,684,,26,LEFT,,26,685,false
27,27,2,1223,LEFT,81,true,4,123,[193/586/682/362],[164/96/81/133],[RIGHT/UP/RIGHT/RIGHT],4,40,139,2,910,720,,27,LEFT,,27,745,false
28,28,2,1020,RIGHT,71,true,4,91,[322/739/554/110],[99/71/93/119],[UP/RIGHT/UP/UP],16,117,115,1,1200,868,,28,UP,,28,25,false
29,29,3,1271,LEFT,86,true,4,171,[136/836/942/138],[138/86/90/122],[DOWN/RIGHT/LEFT/DOWN],4,88,165,2,650,329,,29,LEFT,,29,865,false
30,30,3,1259,LEFT,80,true,4,159,[209/842/936/241],[152/80/84/128],[LEFT/RIGHT/LEFT/LEFT],4,76,162,2,680,341,,30,LEFT,,30,865,false
31,31,3,1271,LEFT,71,true,4,39,[30/618/368/230],[175/71/139/119],[LEFT/UP/RIGHT/LEFT],4,153,126,1,1090,577,,31,LEFT,,31,185,false
32,32,3,1259,LEFT,89,true,4,27,[24/568/332/143],[188/89/157/137],[LEFT/UP/UP/UP],4,165,126,1,1090,589,,32,LEFT,,32,185,false
33,33,2,859,UP,78,true,3,71,[565/334/119/553],[78/85/105/81],[UP/UP/UP/UP],4,60,150,3,750,362,,33,LEFT,,33,25,false
34,34,2,728,UP,73,true,3,47,[436/262/63/288],[77/73/93/92],[UP/UP/RIGHT/UP],28,84,150,3,750,386,,34,LEFT,,34,145,false
35,35,2,716,LEFT,71,true,3,35,[412/131/69/157],[71/91/111/84],[UP/UP/RIGHT/RIGHT],24,84,150,3,750,398,,35,LEFT,,35,205,false
36,36,3,691,DOWN,85,true,4,131,[101/316/382/386],[97/101/89/85],[DOWN/DOWN/LEFT/UP],4,48,187,3,380,210,,36,LEFT,,36,205,false
37,37,3,883,DOWN,75,true,4,94,[310/383/273/298],[87/75/95/85],[DOWN/LEFT/UP/UP],4,36,184,3,410,247,,37,LEFT,,37,145,false
38,38,3,859,LEFT,77,true,4,70,[391/321/194/131],[77/87/107/103],[LEFT/UP/LEFT/UP],4,60,178,3,470,271,,38,LEFT,,38,25,false
39,39,2,691,DOWN,75,true,4,131,[60/392/450/396],[103/91/75/95],[RIGHT/LEFT/UP/RIGHT],16,48,161,3,640,305,,39,LEFT,,39,25,false
40,40,2,883,DOWN,77,true,4,94,[84/333/395/143],[83/85/81/77],[DOWN/UP/RIGHT/UP],4,36,161,3,640,342,,40,LEFT,,40,25,false
41,41,2,859,LEFT,93,true,4,70,[244/261/286/59],[95/97/93/113],[LEFT/UP/UP/RIGHT],16,60,161,3,640,366,,41,LEFT,,41,25,false
42,42,2,728,UP,81,true,4,46,[275/210/119/71],[83/85/81/101],[DOWN/RIGHT/UP/RIGHT],36,84,161,3,640,390,,42,LEFT,,42,25,false
43,43,3,996,DOWN,75,true,4,51,[589/266/314/574],[81/120/112/75],[RIGHT/UP/UP/UP],16,48,153,3,720,351,,43,LEFT,,43,145,false
44,44,3,984,LEFT,87,true,4,39,[595/187/278/550],[87/138/130/93],[RIGHT/LEFT/UP/UP],4,60,153,3,720,363,,44,LEFT,,44,205,false
45,45,3,972,LEFT,75,true,4,27,[574/181/189/445],[75/132/124/87],[UP/LEFT/UP/UP],4,60,153,3,720,375,,45,LEFT,,45,265,false
46,46,3,948,LEFT,87,true,4,3,[445/99/201/364],[87/120/136/99],[UP/UP/RIGHT/RIGHT],4,36,147,3,780,399,,46,LEFT,,46,325,false
47,47,2,153,RIGHT,106,true,4,183,[1063/1253/1026/788],[119/154/107/106],[UP/LEFT/LEFT/DOWN],16,100,133,2,970,601,,47,RIGHT,,47,25,false
48,48,2,165,RIGHT,100,true,4,171,[1008/1247/1020/847],[125/160/113/100],[UP/LEFT/LEFT/DOWN],4,112,133,2,970,613,,48,RIGHT,,48,25,false
49,49,2,177,RIGHT,118,true,4,159,[1002/1241/1014/853],[142/166/131/118],[LEFT/LEFT/LEFT/RIGHT],4,124,133,2,970,625,,49,RIGHT,,49,25,false
50,50,2,225,RIGHT,82,true,4,111,[1062/1157/906/877],[130/166/106/82],[DOWN/UP/UP/RIGHT],4,112,133,2,970,673,,50,RIGHT,,50,165,false
51,51,3,1020,LEFT,82,true,4,175,[231/328/355/494],[82/98/115/94],[LEFT/DOWN/LEFT/RIGHT],4,92,186,3,390,142,,51,LEFT,,51,205,false
52,52,3,1008,LEFT,100,true,4,163,[225/394/349/500],[100/104/120/100],[LEFT/LEFT/LEFT/RIGHT],4,96,183,3,420,154,,52,LEFT,,52,205,false
53,53,3,996,LEFT,82,true,4,151,[113/388/301/506],[118/86/114/82],[UP/LEFT/UP/RIGHT],4,84,180,3,450,166,,53,LEFT,,53,205,false
54,54,3,984,LEFT,88,true,4,139,[58/382/265/512],[136/100/132/88],[UP/LEFT/UP/RIGHT],4,72,177,3,480,178,,54,LEFT,,54,205,false
55,55,3,972,LEFT,98,true,4,127,[64/376/134/450],[154/118/126/98],[RIGHT/LEFT/UP/UP],4,60,177,3,480,190,,55,LEFT,,55,745,false
56,56,3,960,LEFT,92,true,4,115,[70/315/98/426],[148/112/120/92],[RIGHT/UP/UP/UP],4,48,174,3,510,202,,56,LEFT,,56,785,false
57,57,3,948,LEFT,110,true,4,103,[76/279/18/388],[135/130/114/110],[RIGHT/UP/LEFT/RIGHT],4,36,171,3,540,214,,57,LEFT,,57,725,false
58,58,3,936,LEFT,108,true,4,91,[102/201/12/394],[117/124/108/117],[DOWN/UP/LEFT/RIGHT],4,24,168,3,570,226,,58,LEFT,,58,665,false
59,59,3,1211,RIGHT,137,true,4,171,[84/261/15/391],[156/157/141/137],[UP/DOWN/RIGHT/LEFT],4,128,156,2,740,278,,59,UP,,59,125,false
60,60,3,153,RIGHT,71,true,4,183,[84/776/286/591],[76/103/76/71],[UP/DOWN/DOWN/LEFT],16,73,182,3,430,221,,60,RIGHT,,60,165,false
61,61,3,960,DOWN,78,true,4,59,[96/654/142/420],[142/78/137/81],[UP/UP/UP/UP],4,48,171,3,540,345,,61,LEFT,,61,785,false
62,62,3,948,LEFT,72,true,4,47,[75/618/106/318],[136/72/144/75],[LEFT/UP/UP/UP],4,36,168,3,570,357,,62,LEFT,,62,725,false
63,63,3,1211,RIGHT,119,true,4,171,[72/530/88/133],[163/119/171/122],[RIGHT/LEFT/DOWN/UP],4,88,153,2,770,421,,63,UP,,63,125,false
64,64,3,1271,LEFT,91,true,4,171,[262/420/941/144],[127/118/91/121],[DOWN/DOWN/LEFT/DOWN],4,88,176,2,540,330,,64,LEFT,,64,865,false
65,65,3,1259,LEFT,85,true,4,159,[298/444/924/240],[145/124/85/127],[DOWN/DOWN/UP/LEFT],4,76,173,2,570,342,,65,LEFT,,65,865,false
66,66,3,972,RIGHT,76,true,4,139,[398/500/656/233],[120/104/76/128],[RIGHT/RIGHT/UP/RIGHT],4,128,140,1,950,478,,66,RIGHT,,66,145,false
67,67,3,984,RIGHT,94,true,4,127,[304/506/620/239],[114/94/94/114],[UP/RIGHT/UP/RIGHT],4,140,139,1,960,490,,67,RIGHT,,67,185,false
68,68,3,996,RIGHT,76,true,4,115,[268/512/590/245],[108/76/80/108],[UP/RIGHT/RIGHT/RIGHT],4,141,136,1,990,502,,68,UP,,68,145,false
69,69,3,883,RIGHT,74,true,4,79,[60/388/546/72],[90/74/83/90],[RIGHT/RIGHT/UP/LEFT],4,105,134,1,1010,538,,69,UP,,69,105,false
70,70,3,1271,LEFT,112,true,3,171,[357/492/512/508],[136/132/112/116],[LEFT/RIGHT/RIGHT/RIGHT],4,88,193,3,320,110,,70,LEFT,,70,345,false
71,71,3,1271,LEFT,95,true,4,171,[845/310/358/491],[95/135/135/131],[RIGHT/DOWN/LEFT/RIGHT],4,88,185,3,400,151,,71,LEFT,,71,785,false
72,72,3,1259,LEFT,89,true,4,159,[791/397/352/497],[89/143/153/139],[UP/LEFT/LEFT/RIGHT],4,76,182,3,430,163,,72,LEFT,,72,785,false
73,73,3,1223,LEFT,95,true,4,123,[727/379/247/515],[95/151/137/133],[RIGHT/LEFT/UP/RIGHT],4,40,177,3,480,199,,73,LEFT,,73,805,false
74,74,3,1211,LEFT,89,true,4,111,[733/333/116/438],[89/145/129/125],[RIGHT/UP/UP/UP],4,28,174,3,510,211,,74,LEFT,,74,805,false
75,75,3,936,RIGHT,78,true,4,175,[734/327/110/380],[78/123/94/115],[LEFT/DOWN/DOWN/LEFT],4,92,162,2,680,263,,75,UP,,75,305,false
76,76,3,1211,RIGHT,87,true,4,171,[16/390/1154/487],[140/136/87/115],[RIGHT/LEFT/UP/RIGHT],4,128,165,2,650,239,,76,UP,,76,185,false
77,77,3,948,UP,85,true,4,147,[122/378/1058/499],[104/116/85/103],[DOWN/LEFT/UP/RIGHT],16,104,160,2,700,263,,77,LEFT,,77,245,false
78,78,3,936,LEFT,80,true,4,135,[167/327/1027/505],[90/123/80/97],[RIGHT/UP/LEFT/RIGHT],4,92,160,2,700,275,,78,LEFT,,78,245,false
79,79,3,1211,RIGHT,77,true,4,83,[25/213/1069/389],[152/161/77/135],[RIGHT/RIGHT/DOWN/RIGHT],4,128,160,2,700,327,,79,RIGHT,,79,645,false
80,80,2,859,UP,79,true,3,71,[561/328/113/557],[79/86/106/80],[UP/UP/UP/UP],4,60,142,3,830,315,,80,LEFT,,80,105,false
81,81,1,859,RIGHT,82,true,4,51,[64/227/281/114],[118/98/82/102],[LEFT/RIGHT/UP/UP],28,60,109,2,1210,744,,81,RIGHT,,81,625,false
82,82,1,1271,LEFT,103,true,4,171,[250/299/120/65],[125/103/125/143],[UP/UP/DOWN/RIGHT],4,88,97,1,1380,832,,82,LEFT,,82,845,false
83,83,1,1259,LEFT,121,true,4,159,[119/263/244/71],[141/121/131/151],[UP/UP/LEFT/RIGHT],4,76,94,1,1410,844,,83,LEFT,,83,785,false
84,84,1,1223,LEFT,158,true,4,123,[69/108/226/144],[178/164/160/158],[RIGHT/UP/LEFT/DOWN],4,40,85,1,1500,880,,84,LEFT,,84,405,false
85,85,1,1211,LEFT,140,true,4,111,[75/77/119/240],[160/158/154/140],[RIGHT/LEFT/UP/LEFT],4,28,82,1,1530,892,,85,LEFT,,85,345,false
86,86,3,1211,RIGHT,88,true,4,171,[575/487/362/657],[111/115/121/88],[UP/RIGHT/LEFT/DOWN],4,88,174,2,560,238,,86,UP,,86,285,false
