
1,1,3,456,LEFT,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],4,44,219,4,10,19,,1,UP,,1,765,false
2,2,3,348,UP,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],4,32,216,4,40,31,,2,UP,,2,705,false
3,3,3,153,UP,-1,false,0,2147483647,[505/1292/1292/1292],[77/-1/-1/-1],[RIGHT/NEUTRAL/NEUTRAL/NEUTRAL],4,16,212,4,80,47,,3,RIGHT,,3,425,false
4,4,3,165,RIGHT,-1,false,0,2147483647,[517/1292/1292/1292],[77/-1/-1/-1],[RIGHT/NEUTRAL/NEUTRAL/NEUTRAL],4,28,209,4,110,59,,4,UP,,4,685,false
5,5,3,348,DOWN,27,false,3,167,[535/515/495/471],[42/62/51/27],[LEFT/LEFT/LEFT/LEFT],16,57,198,3,270,127,,5,DOWN,,5,165,false
6,6,3,456,DOWN,3,false,3,155,[529/509/489/459],[60/53/33/3],[LEFT/LEFT/LEFT/LEFT],4,69,198,3,270,139,,6,DOWN,,6,585,false
7,7,3,691,DOWN,3,false,3,131,[517/497/445/661],[72/65/51/3],[LEFT/LEFT/UP/DOWN],4,48,192,3,330,163,,7,RIGHT,,7,605,false
8,8,3,598,RIGHT,3,false,3,95,[391/453/370/595],[65/13/33/3],[RIGHT/UP/RIGHT/RIGHT],24,84,192,3,330,199,,8,UP,,8,1465,false
9,9,3,480,UP,3,false,3,83,[397/429/320/550],[59/7/27/3],[RIGHT/UP/UP/UP],12,93,192,3,330,211,,9,UP,,9,1300,true
10,10,2,859,LEFT,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],4,60,172,3,1130,301,,10,DOWN,,10,285,false
11,11,2,996,DOWN,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],4,48,169,3,1160,313,,11,RIGHT,,11,285,false
12,12,2,1008,RIGHT,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],4,36,166,3,1190,325,,12,RIGHT,,12,345,false
13,13,2,1020,RIGHT,-1,false,0,2147483647,[490/1292/1292/1292],[98/-1/-1/-1],[LEFT/NEUTRAL/NEUTRAL/NEUTRAL],4,24,163,3,1220,337,,13,UP,,13,345,false
14,14,2,883,UP,-1,false,0,2147483647,[546/498/1292/1292],[83/78/-1/-1],[DOWN/NEUTRAL/NEUTRAL/NEUTRAL],4,36,160,3,1250,349,,14,UP,,14,365,false
15,15,2,753,UP,-1,false,0,2147483647,[596/510/1292/1292],[59/54/-1/-1],[LEFT/RIGHT/NEUTRAL/NEUTRAL],4,48,157,3,1280,361,,15,UP,,15,845,false
16,16,2,540,UP,-1,false,0,2147483647,[701/534/514/1292],[59/6/26/-1],[LEFT/RIGHT/RIGHT/NEUTRAL],4,44,151,3,1340,385,,16,UP,,16,865,false
17,17,2,399,UP,18,false,0,2147483647,[667/564/418/490],[59/18/46/62],[UP/DOWN/UP/LEFT],4,32,148,3,1370,397,,17,UP,,17,1205,false
18,18,2,237,UP,26,false,0,2147483647,[561/672/328/433],[59/50/26/82],[UP/DOWN/UP/UP],4,16,144,3,1410,413,,18,RIGHT,,18,1125,false
19,19,2,516,DOWN,-1,false,3,123,[697/1022/1292/645],[78/74/-1/54],[RIGHT/RIGHT/NEUTRAL/DOWN],44,96,125,2,1850,505,,19,RIGHT,,19,45,false
20,20,2,540,RIGHT,-1,false,3,99,[644/1064/1292/710],[67/62/-1/78],[UP/DOWN/NEUTRAL/RIGHT],32,72,125,2,1850,529,,20,UP,,20,45,false
21,21,2,948,RIGHT,30,false,0,2147483647,[734/1134/160/978],[66/62/95/30],[RIGHT/UP/RIGHT/RIGHT],4,36,116,2,1940,638,,21,RIGHT,,21,245,false
22,22,3,598,UP,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],24,80,220,4,0,14,,22,UP,,22,265,false
23,23,3,480,UP,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],12,68,220,4,0,26,,23,UP,,23,325,false
24,24,2,1223,LEFT,-1,false,0,2147483647,[1292/1292/1292/1292],[-1/-1/-1/-1],[NEUTRAL/NEUTRAL/NEUTRAL/NEUTRAL],4,40,186,4,340,168,,24,UP,,24,365,false
25,25,2,972,UP,-1,false,0,2147483647,[570/492/1292/1292],[76/96/-1/-1],[DOWN/LEFT/NEUTRAL/NEUTRAL],4,60,177,4,430,204,,25,RIGHT,,25,305,false
