
1,1,3,728,UP,77,false,0,2147483647,[1150/1174/54/26],[77/81/103/117],[UP/UP/LEFT/LEFT],28,84,157,2,730,374,,1,RIGHT,,1,225,false
2,2,3,1008,LEFT,92,false,3,95,[256/278/23/554],[102/130/151/92],[UP/DOWN/RIGHT/DOWN],4,36,154,2,960,270,,2,DOWN,,2,725,false
3,3,3,1271,DOWN,105,false,3,71,[89/371/35/632],[134/142/170/105],[UP/LEFT/RIGHT/DOWN],4,28,148,2,1020,294,,3,RIGHT,,3,665,false
4,4,3,1020,RIGHT,78,false,0,2147483647,[787/396/449/498],[78/94/99/90],[DOWN/RIGHT/UP/NEUTRAL],4,24,197,4,230,100,,4,UP,,4,285,false
5,5,3,883,UP,78,false,0,2147483647,[840/280/363/486],[78/82/99/90],[LEFT/UP/RIGHT/LEFT],4,36,194,4,260,112,,5,UP,,5,285,false
6,6,3,1223,LEFT,129,false,0,2147483647,[169/403/181/70],[140/129/152/177],[LEFT/RIGHT/LEFT/RIGHT],4,140,126,1,1090,625,,6,UP,,6,185,false
7,7,2,996,LEFT,81,false,3,83,[613/393/250/631],[84/91/111/81],[UP/RIGHT/UP/UP],4,48,153,3,720,350,,7,UP,,7,85,false
8,8,3,936,LEFT,86,false,0,2147483647,[363/28/212/326],[86/119/126/98],[RIGHT/RIGHT/RIGHT/UP],4,24,144,3,810,411,,8,UP,,8,325,false
9,9,3,810,UP,86,false,0,2147483647,[326/40/224/254],[86/119/102/98],[UP/RIGHT/RIGHT/UP],4,36,141,3,840,423,,9,UP,,9,345,false
10,10,3,691,UP,78,false,0,2147483647,[254/52/236/179],[86/118/78/78],[UP/RIGHT/RIGHT/LEFT],4,48,138,3,870,435,,10,UP,,10,345,false
11,11,2,972,LEFT,72,false,2,111,[513/391/679/642],[99/113/72/79],[RIGHT/RIGHT/RIGHT/DOWN],4,60,173,2,570,286,,11,DOWN,,11,240,true
12,12,2,165,RIGHT,93,false,0,2147483647,[988/1291/781/838],[132/145/93/96],[RIGHT/DOWN/DOWN/RIGHT],4,28,144,3,810,549,,12,UP,,12,345,false
13,13,3,996,LEFT,86,false,3,58,[131/69/182/329],[115/129/131/86],[UP/RIGHT/LEFT/UP],4,48,176,3,490,229,,13,UP,,13,185,false
14,14,3,859,UP,86,false,3,46,[95/75/141/257],[109/111/125/86],[UP/RIGHT/UP/UP],4,60,173,3,520,241,,14,RIGHT,,14,125,false
15,15,3,1211,RIGHT,150,false,0,2147483647,[199/114/215/23],[158/151/159/150],[LEFT/DOWN/RIGHT/LEFT],4,128,151,2,790,454,,15,UP,,15,85,false
16,16,3,948,UP,102,false,0,2147483647,[326/305/257/167],[110/103/111/102],[DOWN/DOWN/DOWN/LEFT],16,104,151,2,790,478,,16,RIGHT,,16,85,false
17,17,3,960,RIGHT,86,false,0,2147483647,[363/405/329/155],[86/103/111/102],[LEFT/RIGHT/DOWN/LEFT],4,116,151,2,790,490,,17,UP,,17,85,false
18,18,3,1211,RIGHT,136,false,0,2147483647,[251/108/59/46],[136/152/162/173],[DOWN/DOWN/RIGHT/RIGHT],4,88,148,2,820,597,,18,UP,,18,25,false
19,19,3,948,UP,88,false,0,2147483647,[408/299/108/214],[88/104/128/136],[RIGHT/DOWN/DOWN/RIGHT],16,96,148,2,820,621,,19,RIGHT,,19,25,false
20,20,3,1271,LEFT,112,false,3,171,[361/488/508/512],[132/128/116/112],[LEFT/RIGHT/RIGHT/RIGHT],4,88,194,3,310,114,,20,UP,,20,125,false
21,21,3,948,LEFT,80,false,3,87,[18/388/280/1028],[114/110/130/80],[LEFT/RIGHT/UP/RIGHT],4,36,186,3,390,198,,21,DOWN,,21,365,false
22,22,3,1211,DOWN,80,false,3,63,[6/328/113/1291],[138/146/155/80],[LEFT/UP/UP/DOWN],4,28,180,3,450,222,,22,RIGHT,,22,245,false
23,23,3,1259,LEFT,116,false,3,159,[351/498/450/520],[154/138/122/116],[LEFT/RIGHT/UP/RIGHT],4,76,190,3,350,122,,23,UP,,23,345,false
24,24,3,948,LEFT,76,false,3,87,[14/392/256/1024],[118/114/127/76],[LEFT/RIGHT/UP/RIGHT],4,36,174,3,510,194,,24,DOWN,,24,365,false
25,25,3,1211,DOWN,84,false,3,63,[2/304/89/1172],[134/150/159/84],[LEFT/UP/UP/DOWN],4,28,168,3,570,218,,25,RIGHT,,25,245,false
26,26,3,810,UP,73,false,0,2147483647,[1/263/83/859],[85/86/112/73],[LEFT/DOWN/UP/UP],4,36,151,3,740,314,,26,UP,,26,105,false
